# =====================================================================
#  Lexique culinaire anglais <-> français  (USDA FoodData Central)
# ---------------------------------------------------------------------
#  Pourquoi ce fichier ? La base USDA est ENTIÈREMENT anglophone, alors
#  que FitForge est une application française. Ce lexique sert DANS LES
#  DEUX SENS :
#
#    * FR -> EN : « blanc de poulet » saisi par l'adhérent devient
#      « chicken breast » avant l'appel USDA (sinon : zéro résultat) ;
#    * EN -> FR : « Chicken, broiler or fryer, breast, meat only, raw »
#      renvoyé par USDA devient « Poulet, de chair, blanc, viande seule,
#      cru » avant l'affichage.
#
#  FORMAT — une entrée par ligne, séparateur « ; » :
#
#      anglais;français     entrée BIDIRECTIONNELLE (cas général)
#     >anglais;français     AFFICHAGE seulement (EN -> FR)
#     <anglais;français     RECHERCHE seulement  (FR -> EN)
#
#  Les marqueurs « > » et « < » servent à lever les ambiguïtés. Exemple :
#  « grilled » et « broiled » se traduisent tous deux par « grillé », mais
#  l'inverse doit choisir UN seul terme anglais : on laisse « grilled »
#  bidirectionnel et on marque « broiled » en affichage seul.
#
#  RÈGLES DE MAINTENANCE :
#   1. Les expressions de PLUSIEURS MOTS sont prioritaires sur les mots
#      isolés (« pomme de terre » l'emporte sur « pomme »). Aucun besoin
#      de les placer en tête : l'appariement se fait du plus long au plus
#      court, quelle que soit la position dans le fichier.
#   2. En cas de doublon côté français, la PREMIÈRE ligne du fichier
#      gagne pour le sens FR -> EN. Placer donc la traduction la plus
#      utile en premier, ou marquer les autres « > ».
#   3. Les pluriels sont gérés automatiquement (« bananas » trouve
#      « banana ») : inutile de les dupliquer, sauf pluriel irrégulier.
#   4. Les accents sont ignorés à la recherche : l'adhérent peut taper
#      « cereales » et trouver « céréales ». Écrire malgré tout le
#      français CORRECTEMENT ACCENTUÉ : c'est ce texte qui est affiché.
#   5. Un terme absent n'est PAS une erreur : il traverse tel quel.
#      La dégradation est toujours gracieuse.
#   6. Encodage OBLIGATOIRE : UTF-8.
# =====================================================================


# ---------------------------------------------------------------------
#  MODES DE CUISSON ET DE PRÉPARATION
#  Ces descripteurs constituent l'essentiel des libellés USDA : les
#  traduire est ce qui rend un résultat lisible.
# ---------------------------------------------------------------------
raw;cru
cooked;cuit
uncooked;non cuit
>unprepared;non préparé
boiled;bouilli
roasted;rôti
baked;au four
>grilled;grillé
>broiled;grillé
fried;frit
deep fried;en friture
>pan-fried;poêlé
>stir-fried;sauté
>sauteed;sauté
# Cotes RECHERCHE, ces trois cuissons doivent devenir « cooked » et non leur
# traduction litterale : USDA ne dit jamais « grilled » pour un aliment brut
# (« salmon grilled » ne renvoie RIEN, « salmon cooked » trouve le poisson).
# Le sens AFFICHAGE, lui, garde bien « grilled » -> « grillé » ci-dessus.
<cooked;grillé
<cooked;poêlé
<cooked;sauté
<cooked;à la plancha
steamed;à la vapeur
braised;braisé
stewed;mijoté
poached;poché
smoked;fumé
cured;saumuré
dried;séché
dehydrated;déshydraté
freeze-dried;lyophilisé
canned;en conserve
frozen;surgelé
fresh;frais
chilled;réfrigéré
prepared;préparé
homemade;fait maison
>home-prepared;fait maison
>home recipe;recette maison
commercial;industriel
>commercially prepared;préparation industrielle
ready-to-eat;prêt à consommer
ready to drink;prêt à boire
>microwaved;au micro-ondes
reheated;réchauffé
>toasted;grillé
blanched;blanchi
pickled;au vinaigre
marinated;mariné
breaded;pané
battered;en beignet
coated;enrobé
stuffed;farci
seasoned;assaisonné
unseasoned;non assaisonné
drained;égoutté
undrained;non égoutté
rinsed;rincé
peeled;pelé
unpeeled;non pelé
skinless;sans peau
with skin;avec peau
>skin on;avec la peau
boneless;désossé
bone-in;avec os
ground;haché
minced;émincé
>chopped;coupé en morceaux
sliced;en tranches
diced;en dés
grated;râpé
>shredded;râpé
mashed;en purée
>pureed;en purée
whole;entier
halves;moitiés
pieces;morceaux
strips;lanières
>NFS;non précisé
>not further specified;non précisé
>as purchased;tel qu'acheté
>edible portion;partie comestible


# ---------------------------------------------------------------------
#  ASSAISONNEMENT, CONSERVATION, TENEURS
# ---------------------------------------------------------------------
with salt;salé
without salt;sans sel
salted;salé
unsalted;non salé
no salt added;sans sel ajouté
low sodium;pauvre en sodium
sweetened;sucré
unsweetened;non sucré
no sugar added;sans sucre ajouté
sugar free;sans sucre
in water;au naturel
in oil;à l'huile
in brine;en saumure
in syrup;au sirop
in juice;au jus
light syrup;sirop léger
heavy syrup;sirop épais
enriched;enrichi
unenriched;non enrichi
>fortified;enrichi
refined;raffiné
unrefined;non raffiné
whole grain;céréales complètes
whole wheat;blé complet
>whole-grain;complet
low fat;allégé en matières grasses
>lowfat;allégé
nonfat;0% de matières grasses
fat free;sans matières grasses
reduced fat;matières grasses réduites
skim;écrémé
semi-skimmed;demi-écrémé
lean;maigre
extra lean;très maigre
lean meat;viande maigre
meat only;viande seule
meat and skin;viande et peau
light;allégé
regular;classique
plain;nature
flavored;aromatisé
high protein;riche en protéines
low carb;pauvre en glucides
low calorie;peu calorique
all varieties;toutes variétés
variety;variété
average;moyenne


# ---------------------------------------------------------------------
#  COULEURS, VARIÉTÉS, CALIBRES, ÉTATS
#  Descripteurs très frequents en deuxieme position d'un libelle USDA
#  (« Rice, white, long-grain, regular, cooked »).
# ---------------------------------------------------------------------
red;rouge
green;vert
>white;blanc
